instance_id,repo,created_at,arm,model,model_ids_observed,resolved,total_cost_usd,prompt_side_tokens,completion_tokens,opus_prompt_tokens,opus_completion_tokens,opus_cost_usd,sonnet_prompt_tokens,sonnet_completion_tokens,sonnet_cost_usd,haiku_prompt_tokens,haiku_completion_tokens,haiku_cost_usd,n_turns,wall_clock_s,status,swap_fired,model_pin_ok,model_pin_drift,resolved_verdict_source,patch_empty,result_dir
openai__openai-agents-python-1636,openai/openai-agents-python,2025-09-02 09:55:04,opus-declare,claude-opus-4-8,claude-opus-4-8,1,0.4053832500000001,408898,3614,407631,3597,0.40403125000000006,0,0,0.0,1267,17,0.001352,15,72.23,ok,False,True,,jobs_declare/results/opus-declare/openai__openai-agents-python-1636/eval/openai__openai-agents-python-1636/report.json,False,jobs_declare/results/opus-declare/openai__openai-agents-python-1636
openai__openai-agents-python-1633,openai/openai-agents-python,2025-09-02 01:10:29,opus-declare,claude-opus-4-8,claude-opus-4-8,0,0.61248975,524985,8095,523509,8078,0.61092875,0,0,0.0,1476,17,0.001561,17,119.47,ok,False,True,,jobs_declare/results/opus-declare/openai__openai-agents-python-1633/eval/openai__openai-agents-python-1633/report.json,False,jobs_declare/results/opus-declare/openai__openai-agents-python-1633
stanfordnlp__dspy-8739,stanfordnlp/dspy,2025-08-30 07:39:31,opus-declare,claude-opus-4-8,claude-opus-4-8,0,0.2637505,239201,2582,237616,2561,0.2620605,0,0,0.0,1585,21,0.00169,10,49.53,ok,False,True,,jobs_declare/results/opus-declare/stanfordnlp__dspy-8739/eval/stanfordnlp__dspy-8739/report.json,False,jobs_declare/results/opus-declare/stanfordnlp__dspy-8739
openai__openai-agents-python-1619,openai/openai-agents-python,2025-08-29 21:02:29,opus-declare,claude-opus-4-8,claude-opus-4-8,1,0.4431915,505650,3942,504053,3922,0.4414945,0,0,0.0,1597,20,0.001697,19,80.88,ok,False,True,,jobs_declare/results/opus-declare/openai__openai-agents-python-1619/eval/openai__openai-agents-python-1619/report.json,False,jobs_declare/results/opus-declare/openai__openai-agents-python-1619
django-guardian__django-guardian-899,django-guardian/django-guardian,2025-08-29 08:55:48,opus-declare,claude-opus-4-8,claude-opus-4-8,1,0.3355045,217183,5581,216307,5564,0.3345435,0,0,0.0,876,17,0.000961,9,88.0,ok,False,True,,jobs_declare/results/opus-declare/django-guardian__django-guardian-899/eval/django-guardian__django-guardian-899/report.json,False,jobs_declare/results/opus-declare/django-guardian__django-guardian-899
django-guardian__django-guardian-896,django-guardian/django-guardian,2025-08-28 23:07:44,opus-declare,claude-opus-4-8,claude-opus-4-8,0,0.5115465,494897,6022,493859,6006,0.5104285000000001,0,0,0.0,1038,16,0.001118,16,99.91,ok,False,True,,jobs_declare/results/opus-declare/django-guardian__django-guardian-896/eval/django-guardian__django-guardian-896/report.json,False,jobs_declare/results/opus-declare/django-guardian__django-guardian-896
a2aproject__a2a-python-443,a2aproject/a2a-python,2025-08-28 21:39:11,opus-declare,claude-opus-4-8,claude-opus-4-8,0,0.9493639999999998,890437,11450,889611,11434,0.9484579999999998,0,0,0.0,826,16,0.000906,22,160.54,ok,False,True,,jobs_declare/results/opus-declare/a2aproject__a2a-python-443/eval/a2aproject__a2a-python-443/report.json,False,jobs_declare/results/opus-declare/a2aproject__a2a-python-443
openai__openai-agents-python-1601,openai/openai-agents-python,2025-08-28 05:18:26,opus-declare,claude-opus-4-8,claude-opus-4-8,0,0.7308427500000001,684851,10078,683855,10062,0.7297667500000001,0,0,0.0,996,16,0.001076,25,157.65,ok,False,True,,jobs_declare/results/opus-declare/openai__openai-agents-python-1601/eval/openai__openai-agents-python-1601/report.json,False,jobs_declare/results/opus-declare/openai__openai-agents-python-1601
QuantEcon__QuantEcon.py-797,QuantEcon/QuantEcon.py,2025-08-27 23:56:06,opus-declare,claude-opus-4-8,claude-opus-4-8,0,0.21080749999999998,134674,2901,133866,2881,0.2098995,0,0,0.0,808,20,0.0009080000000000001,6,37.16,ok,False,True,,jobs_declare/results/opus-declare/QuantEcon__QuantEcon.py-797/eval/QuantEcon__QuantEcon.py-797/report.json,False,jobs_declare/results/opus-declare/QuantEcon__QuantEcon.py-797
pex-tool__pex-2888,pex-tool/pex,2025-08-27 19:57:49,opus-declare,claude-opus-4-8,claude-opus-4-8,0,0.8122937500000001,802139,8254,800577,8236,0.8106417500000002,0,0,0.0,1562,18,0.001652,22,138.98,ok,False,True,,jobs_declare/results/opus-declare/pex-tool__pex-2888/eval/pex-tool__pex-2888/report.json,False,jobs_declare/results/opus-declare/pex-tool__pex-2888
sdv-dev__SDV-2658,sdv-dev/SDV,2025-08-27 19:48:19,opus-declare,claude-opus-4-8,claude-opus-4-8,0,0.6560714999999998,553687,9429,552525,9409,0.6548094999999998,0,0,0.0,1162,20,0.001262,18,127.9,ok,False,True,,jobs_declare/results/opus-declare/sdv-dev__SDV-2658/eval/sdv-dev__SDV-2658/report.json,False,jobs_declare/results/opus-declare/sdv-dev__SDV-2658
stanfordnlp__dspy-8718,stanfordnlp/dspy,2025-08-27 06:46:30,opus-declare,claude-opus-4-8,claude-opus-4-8,0,0.15034325,116504,1043,114650,1024,0.14839425,0,0,0.0,1854,19,0.001949,5,23.11,ok,False,True,,jobs_declare/results/opus-declare/stanfordnlp__dspy-8718/eval/stanfordnlp__dspy-8718/report.json,False,jobs_declare/results/opus-declare/stanfordnlp__dspy-8718
sdv-dev__SDV-2656,sdv-dev/SDV,2025-08-26 21:22:01,opus-declare,claude-opus-4-8,claude-opus-4-8,1,0.13533825,107891,981,107116,966,0.13448825,0,0,0.0,775,15,0.00085,5,17.77,ok,False,True,,jobs_declare/results/opus-declare/sdv-dev__SDV-2656/eval/sdv-dev__SDV-2656/report.json,False,jobs_declare/results/opus-declare/sdv-dev__SDV-2656
aws-cloudformation__cfn-lint-4236,aws-cloudformation/cfn-lint,2025-08-26 18:22:09,opus-declare,claude-opus-4-8,claude-opus-4-8,0,0.1653895,115457,1476,114265,1459,0.1641125,0,0,0.0,1192,17,0.001277,5,27.83,ok,False,True,,jobs_declare/results/opus-declare/aws-cloudformation__cfn-lint-4236/eval/aws-cloudformation__cfn-lint-4236/report.json,False,jobs_declare/results/opus-declare/aws-cloudformation__cfn-lint-4236
ipython__ipython-14970,ipython/ipython,2025-08-26 17:28:34,opus-declare,claude-opus-4-8,claude-opus-4-8,0,0.10647924999999998,64694,919,63442,901,0.10513724999999999,0,0,0.0,1252,18,0.001342,3,17.42,ok,False,True,,jobs_declare/results/opus-declare/ipython__ipython-14970/eval/ipython__ipython-14970/report.json,False,jobs_declare/results/opus-declare/ipython__ipython-14970
sissbruecker__linkding-1175,sissbruecker/linkding,2025-08-26 09:53:54,opus-declare,claude-opus-4-8,claude-opus-4-8,0,1.0423497499999999,1097532,11924,1096530,11909,1.0412727499999999,0,0,0.0,1002,15,0.001077,30,169.76,ok,False,True,,jobs_declare/results/opus-declare/sissbruecker__linkding-1175/eval/sissbruecker__linkding-1175/report.json,False,jobs_declare/results/opus-declare/sissbruecker__linkding-1175
octodns__octodns-1298,octodns/octodns,2025-08-25 21:11:54,opus-declare,claude-opus-4-8,claude-opus-4-8,0,0.5137907500000001,495445,5933,493043,5909,0.51126875,0,0,0.0,2402,24,0.002522,17,97.54,ok,False,True,,jobs_declare/results/opus-declare/octodns__octodns-1298/eval/octodns__octodns-1298/report.json,False,jobs_declare/results/opus-declare/octodns__octodns-1298
