instance_id,repo,created_at,arm,model,model_ids_observed,resolved,total_cost_usd,prompt_side_tokens,completion_tokens,opus_prompt_tokens,opus_completion_tokens,opus_cost_usd,sonnet_prompt_tokens,sonnet_completion_tokens,sonnet_cost_usd,haiku_prompt_tokens,haiku_completion_tokens,haiku_cost_usd,n_turns,wall_clock_s,status,swap_fired,model_pin_ok,model_pin_drift,resolved_verdict_source,patch_empty,result_dir
openai__openai-agents-python-1636,openai/openai-agents-python,2025-09-02 09:55:04,opus-v2a,claude-opus-4-8,claude-opus-4-8,1,0.5632624999999999,595658,6030,594391,6013,0.5619104999999999,0,0,0.0,1267,17,0.001352,21,98.66,ok,False,True,,jobs_v2/results/opus-v2a/openai__openai-agents-python-1636/eval/openai__openai-agents-python-1636/report.json,False,jobs_v2/results/opus-v2a/openai__openai-agents-python-1636
openai__openai-agents-python-1636,openai/openai-agents-python,2025-09-02 09:55:04,opus-v2b,claude-opus-4-8,claude-opus-4-8,1,0.23608500000000002,219945,1966,218678,1949,0.23473300000000002,0,0,0.0,1267,17,0.001352,9,36.12,ok,False,True,,jobs_v2/results/opus-v2b/openai__openai-agents-python-1636/eval/openai__openai-agents-python-1636/report.json,False,jobs_v2/results/opus-v2b/openai__openai-agents-python-1636
openai__openai-agents-python-1633,openai/openai-agents-python,2025-09-02 01:10:29,opus-v2a,claude-opus-4-8,claude-opus-4-8,0,0.9371697499999999,1020291,9993,1018815,9973,0.9355937499999999,0,0,0.0,1476,20,0.0015760000000000001,30,174.79,ok,False,True,,jobs_v2/results/opus-v2a/openai__openai-agents-python-1633/eval/openai__openai-agents-python-1633/report.json,False,jobs_v2/results/opus-v2a/openai__openai-agents-python-1633
openai__openai-agents-python-1633,openai/openai-agents-python,2025-09-02 01:10:29,opus-v2b,claude-opus-4-8,claude-opus-4-8,0,0.675767,644287,7754,642811,7736,0.674201,0,0,0.0,1476,18,0.0015660000000000001,19,119.86,ok,False,True,,jobs_v2/results/opus-v2b/openai__openai-agents-python-1633/eval/openai__openai-agents-python-1633/report.json,False,jobs_v2/results/opus-v2b/openai__openai-agents-python-1633
stanfordnlp__dspy-8739,stanfordnlp/dspy,2025-08-30 07:39:31,opus-v2a,claude-opus-4-8,claude-opus-4-8,0,0.3676317500000001,363408,3676,361823,3655,0.36594175000000007,0,0,0.0,1585,21,0.00169,14,57.54,ok,False,True,,jobs_v2/results/opus-v2a/stanfordnlp__dspy-8739/eval/stanfordnlp__dspy-8739/report.json,False,jobs_v2/results/opus-v2a/stanfordnlp__dspy-8739
stanfordnlp__dspy-8739,stanfordnlp/dspy,2025-08-30 07:39:31,opus-v2b,claude-opus-4-8,claude-opus-4-8,0,0.271332,242714,2641,241129,2620,0.269642,0,0,0.0,1585,21,0.00169,10,44.09,ok,False,True,,jobs_v2/results/opus-v2b/stanfordnlp__dspy-8739/eval/stanfordnlp__dspy-8739/report.json,False,jobs_v2/results/opus-v2b/stanfordnlp__dspy-8739
openai__openai-agents-python-1619,openai/openai-agents-python,2025-08-29 21:02:29,opus-v2a,claude-opus-4-8,claude-opus-4-8,1,0.40759025,445420,3750,443823,3729,0.40588825,0,0,0.0,1597,21,0.001702,17,61.9,ok,False,True,,jobs_v2/results/opus-v2a/openai__openai-agents-python-1619/eval/openai__openai-agents-python-1619/report.json,False,jobs_v2/results/opus-v2a/openai__openai-agents-python-1619
openai__openai-agents-python-1619,openai/openai-agents-python,2025-08-29 21:02:29,opus-v2b,claude-opus-4-8,claude-opus-4-8,1,0.42107399999999995,474653,3705,473056,3687,0.41938699999999995,0,0,0.0,1597,18,0.001687,18,70.3,ok,False,True,,jobs_v2/results/opus-v2b/openai__openai-agents-python-1619/eval/openai__openai-agents-python-1619/report.json,False,jobs_v2/results/opus-v2b/openai__openai-agents-python-1619
django-guardian__django-guardian-899,django-guardian/django-guardian,2025-08-29 08:55:48,opus-v2a,claude-opus-4-8,claude-opus-4-8,1,0.24684474999999997,184607,3279,183731,3262,0.24588374999999998,0,0,0.0,876,17,0.000961,8,48.85,ok,False,True,,jobs_v2/results/opus-v2a/django-guardian__django-guardian-899/eval/django-guardian__django-guardian-899/report.json,False,jobs_v2/results/opus-v2a/django-guardian__django-guardian-899
django-guardian__django-guardian-899,django-guardian/django-guardian,2025-08-29 08:55:48,opus-v2b,claude-opus-4-8,claude-opus-4-8,1,0.16882025,108535,2205,107659,2187,0.16785425,0,0,0.0,876,18,0.0009660000000000001,5,34.09,ok,False,True,,jobs_v2/results/opus-v2b/django-guardian__django-guardian-899/eval/django-guardian__django-guardian-899/report.json,False,jobs_v2/results/opus-v2b/django-guardian__django-guardian-899
