instance_id,repo,created_at,arm,model,model_ids_observed,resolved,total_cost_usd,prompt_side_tokens,completion_tokens,opus_prompt_tokens,opus_completion_tokens,opus_cost_usd,sonnet_prompt_tokens,sonnet_completion_tokens,sonnet_cost_usd,haiku_prompt_tokens,haiku_completion_tokens,haiku_cost_usd,n_turns,wall_clock_s,status,swap_fired,model_pin_ok,model_pin_drift,resolved_verdict_source,patch_empty,result_dir
openai__openai-agents-python-1636,openai/openai-agents-python,2025-09-02 09:55:04,opus-tuned,claude-opus-4-8,claude-opus-4-8,1,0.38759725,346683,3624,345416,3607,0.38624525,0,0,0.0,1267,17,0.001352,12,84.03,ok,False,True,,jobs_round3/results/opus-tuned/openai__openai-agents-python-1636/eval/openai__openai-agents-python-1636/report.json,False,jobs_round3/results/opus-tuned/openai__openai-agents-python-1636
openai__openai-agents-python-1633,openai/openai-agents-python,2025-09-02 01:10:29,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.922918,1023951,8856,1022475,8839,0.921357,0,0,0.0,1476,17,0.001561,30,181.89,ok,False,True,,jobs_round3/results/opus-tuned/openai__openai-agents-python-1633/eval/openai__openai-agents-python-1633/report.json,False,jobs_round3/results/opus-tuned/openai__openai-agents-python-1633
stanfordnlp__dspy-8739,stanfordnlp/dspy,2025-08-30 07:39:31,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.334415,270000,3620,268415,3600,0.33273,0,0,0.0,1585,20,0.001685,10,61.94,ok,False,True,,jobs_round3/results/opus-tuned/stanfordnlp__dspy-8739/eval/stanfordnlp__dspy-8739/report.json,False,jobs_round3/results/opus-tuned/stanfordnlp__dspy-8739
openai__openai-agents-python-1619,openai/openai-agents-python,2025-08-29 21:02:29,opus-tuned,claude-opus-4-8,claude-opus-4-8,1,0.36175424999999994,384641,3328,383044,3309,0.3600622499999999,0,0,0.0,1597,19,0.001692,15,66.23,ok,False,True,,jobs_round3/results/opus-tuned/openai__openai-agents-python-1619/eval/openai__openai-agents-python-1619/report.json,False,jobs_round3/results/opus-tuned/openai__openai-agents-python-1619
django-guardian__django-guardian-899,django-guardian/django-guardian,2025-08-29 08:55:48,opus-tuned,claude-opus-4-8,claude-opus-4-8,1,0.37624450000000004,249387,6075,248511,6057,0.3752785,0,0,0.0,876,18,0.0009660000000000001,10,98.0,ok,False,True,,jobs_round3/results/opus-tuned/django-guardian__django-guardian-899/eval/django-guardian__django-guardian-899/report.json,False,jobs_round3/results/opus-tuned/django-guardian__django-guardian-899
django-guardian__django-guardian-896,django-guardian/django-guardian,2025-08-28 23:07:44,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.24389475,231178,2800,230140,2784,0.24277674999999999,0,0,0.0,1038,16,0.001118,10,54.1,ok,False,True,,jobs_round3/results/opus-tuned/django-guardian__django-guardian-896/eval/django-guardian__django-guardian-896/report.json,False,jobs_round3/results/opus-tuned/django-guardian__django-guardian-896
a2aproject__a2a-python-443,a2aproject/a2a-python,2025-08-28 21:39:11,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.7917819999999998,679584,9439,678758,9423,0.7908759999999998,0,0,0.0,826,16,0.000906,17,123.38,ok,False,True,,jobs_round3/results/opus-tuned/a2aproject__a2a-python-443/eval/a2aproject__a2a-python-443/report.json,False,jobs_round3/results/opus-tuned/a2aproject__a2a-python-443
openai__openai-agents-python-1601,openai/openai-agents-python,2025-08-28 05:18:26,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.6590802499999998,736212,6724,735216,6710,0.6580142499999998,0,0,0.0,996,14,0.0010659999999999999,28,134.56,ok,False,True,,jobs_round3/results/opus-tuned/openai__openai-agents-python-1601/eval/openai__openai-agents-python-1601/report.json,False,jobs_round3/results/opus-tuned/openai__openai-agents-python-1601
QuantEcon__QuantEcon.py-797,QuantEcon/QuantEcon.py,2025-08-27 23:56:06,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.3531685,156138,6010,155330,5990,0.3522605,0,0,0.0,808,20,0.0009080000000000001,6,76.71,ok,False,True,,jobs_round3/results/opus-tuned/QuantEcon__QuantEcon.py-797/eval/QuantEcon__QuantEcon.py-797/report.json,False,jobs_round3/results/opus-tuned/QuantEcon__QuantEcon.py-797
pex-tool__pex-2888,pex-tool/pex,2025-08-27 19:57:49,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.6911804999999999,716332,5576,714770,5558,0.6895284999999999,0,0,0.0,1562,18,0.001652,21,109.82,ok,False,True,,jobs_round3/results/opus-tuned/pex-tool__pex-2888/eval/pex-tool__pex-2888/report.json,False,jobs_round3/results/opus-tuned/pex-tool__pex-2888
sdv-dev__SDV-2658,sdv-dev/SDV,2025-08-27 19:48:19,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.6523699999999999,584645,8268,583483,8248,0.6511079999999999,0,0,0.0,1162,20,0.001262,18,119.22,ok,False,True,,jobs_round3/results/opus-tuned/sdv-dev__SDV-2658/eval/sdv-dev__SDV-2658/report.json,False,jobs_round3/results/opus-tuned/sdv-dev__SDV-2658
